FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2014,2017,2021,2022
A,Annual,AZE,Azerbaijan,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,20.42,24.58,,42.55
A,Annual,BDI,Burundi,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,4.17,,,
A,Annual,BDI,Burundi,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,4.48,,,
A,Annual,BDI,Burundi,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,4.32,,,
A,Annual,BEL,Belgium,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,96.93,96.9,97.26,
A,Annual,BEL,Belgium,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,95.14,97.23,97.58,
A,Annual,BEL,Belgium,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,96.05,97.06,97.41,
A,Annual,BEN,Benin,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,5.55,18.89,36.95,
A,Annual,BEN,Benin,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,10.96,38.29,50.99,
A,Annual,BEN,Benin,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,8.2,28.48,43.69,
A,Annual,BFA,Burkina Faso,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,7.55,30.06,27.38,
A,Annual,BFA,Burkina Faso,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,9.44,47.22,40.1,
A,Annual,BFA,Burkina Faso,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,8.49,38.92,33.29,
A,Annual,BGD,Bangladesh,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,4.58,21.21,33.56,
A,Annual,BGD,Bangladesh,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,10.67,47.31,57.86,
A,Annual,BGD,Bangladesh,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,7.68,34.11,45.26,
A,Annual,BGR,Bulgaria,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,51.35,67.29,74.41,
A,Annual,BGR,Bulgaria,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,52.22,62.29,76.09,
A,Annual,BGR,Bulgaria,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,51.76,64.92,75.23,
A,Annual,BHR,Bahrain,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,54.19,65.71,,
A,Annual,BHR,Bahrain,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,78.86,83.2,,
A,Annual,BHR,Bahrain,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,70.15,77.26,,
A,Annual,BIH,Bosnia and Herzegovina,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,26.86,45.17,56.32,
A,Annual,BIH,Bosnia and Herzegovina,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,39.86,55.64,77.17,
A,Annual,BIH,Bosnia and Herzegovina,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,33.08,50.27,66.52,
A,Annual,BLR,Belarus,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,65.91,78.14,,
A,Annual,BLR,Belarus,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,66.98,79.28,,
